Date,HomeTeam,AwayTeam,BetSide,Odds,Profit,FactorValue
2022-09-17T16:00:00.000Z,Tottenham,Leicester,home,1.75,75,72.68115942028986
2023-05-08T16:00:00.000Z,Brighton,Everton,home,1.68,-100,72
2022-10-21T16:00:00.000Z,Manchester City,Brighton,home,1.78,78,69.64285714285714
2025-01-15T16:00:00.000Z,Newcastle,Wolves,home,1.75,75,69.04761904761905
2023-09-29T16:00:00.000Z,Newcastle,Burnley,home,1.73,73,68.54838709677419
2025-04-02T16:00:00.000Z,Liverpool,Everton,home,2.06,106,65.88235294117648
2023-10-20T16:00:00.000Z,Liverpool,Everton,home,2.22,122.00000000000001,65.71428571428571
2024-09-13T16:00:00.000Z,Brighton,Ipswich,home,1.96,0,65.26315789473685
2023-02-17T16:00:00.000Z,Chelsea,Southampton,home,1.83,-100,64.96062992125985
2022-12-26T16:00:00.000Z,Arsenal,West Ham,home,1.87,87.00000000000001,64.28571428571429
2023-02-12T16:00:00.000Z,Manchester City,Aston Villa,home,1.96,96,63.8655462184874
2025-01-20T16:00:00.000Z,Chelsea,Wolves,home,1.81,81,62
2023-12-25T16:00:00.000Z,Newcastle,Nottingham Forest,home,1.76,-100,61.50793650793651
2023-02-08T16:00:00.000Z,Manchester Utd,Leeds,home,2.03,0,61.31386861313868
2025-04-23T16:00:00.000Z,Arsenal,Crystal Palace,home,1.82,0,61.02362204724409
2024-08-23T16:00:00.000Z,Tottenham,Everton,home,2.17,117,60.483870967741936
2022-12-30T16:00:00.000Z,Newcastle,Leeds,home,1.93,0,60.45112781954887
2022-08-31T16:00:00.000Z,Arsenal,Aston Villa,home,1.8,80,59.42446043165468
2025-05-24T16:00:00.000Z,Newcastle,Everton,home,1.93,-100,58.83620689655172
2023-11-10T16:00:00.000Z,Manchester Utd,Luton,home,1.93,93,58.61344537815127
2022-10-07T16:00:00.000Z,Chelsea,Wolves,home,2.13,112.99999999999999,58.2608695652174
2023-03-10T16:00:00.000Z,Tottenham,Nottingham Forest,home,1.96,96,56.81818181818181
2024-04-07T16:00:00.000Z,Tottenham,Nottingham Forest,home,1.85,85.00000000000001,56.793893129770986
2024-09-13T16:00:00.000Z,Manchester City,Brentford,home,1.95,95,56.306306306306304
2025-05-24T16:00:00.000Z,Liverpool,Crystal Palace,home,2.12,0,56
2023-09-29T16:00:00.000Z,West Ham,Sheff Utd,home,1.94,94,55.41353383458647
2023-02-03T16:00:00.000Z,Manchester Utd,Crystal Palace,home,1.79,79,53.968253968253975
2023-05-12T16:00:00.000Z,Manchester Utd,Wolves,home,1.81,81,53.1496062992126
2023-12-08T16:00:00.000Z,Brighton,Burnley,home,2.04,0,52.55474452554744
2024-02-17T16:00:00.000Z,Manchester City,Chelsea,home,1.96,0,51.666666666666664
2024-09-20T16:00:00.000Z,Liverpool,Bournemouth,home,1.8,80,51.31578947368422
2025-01-16T16:00:00.000Z,Manchester Utd,Southampton,home,1.93,93,51.282051282051285
2024-12-15T16:00:00.000Z,Chelsea,Brentford,home,2.03,102.99999999999999,50.81967213114754
2024-03-30T16:00:00.000Z,Liverpool,Brighton,home,1.89,88.99999999999999,50.42372881355932
2022-08-19T16:00:00.000Z,Tottenham,Wolves,home,1.91,90.99999999999999,49.62406015037593
2024-04-26T16:00:00.000Z,Manchester Utd,Burnley,home,1.92,0,48.3941605839416
2024-10-25T16:00:00.000Z,Brighton,Wolves,home,1.91,0,48.27586206896552
2022-10-15T16:00:00.000Z,Tottenham,Everton,home,1.93,93,47.04545454545455
2025-02-14T16:00:00.000Z,Aston Villa,Ipswich,home,1.87,0,46.38461538461539
2024-11-23T16:00:00.000Z,Manchester City,Tottenham,home,2.22,-100,46.06299212598425
2025-05-02T16:00:00.000Z,Manchester City,Wolves,home,1.69,69,45.52845528455285
2025-01-15T16:00:00.000Z,Arsenal,Tottenham,home,1.85,85.00000000000001,45.45454545454545
2025-04-02T16:00:00.000Z,Bournemouth,Ipswich,home,1.81,-100,45.31249999999999
2024-02-23T16:00:00.000Z,Aston Villa,Nottingham Forest,home,1.88,87.99999999999999,45.13888888888889
2024-01-01T16:00:00.000Z,Liverpool,Newcastle,home,1.69,69,44.8
2023-02-04T16:00:00.000Z,Newcastle,West Ham,home,1.78,0,44.76821192052981
2023-04-07T16:00:00.000Z,Manchester Utd,Everton,home,1.94,94,44.38356164383561
2023-04-14T16:00:00.000Z,Tottenham,Bournemouth,home,2.09,-100,44.20289855072464
2022-08-15T16:00:00.000Z,Liverpool,Crystal Palace,home,1.96,0,42.73504273504274
2022-08-27T16:00:00.000Z,Arsenal,Fulham,home,2.26,125.99999999999997,42.71653543307087
2023-04-07T16:00:00.000Z,Aston Villa,Nottingham Forest,home,1.94,94,42.48275862068965
2024-11-22T16:00:00.000Z,Fulham,Wolves,home,1.83,-100,42.12765957446809
2024-04-23T16:00:00.000Z,Arsenal,Chelsea,home,1.79,79,41.84615384615384
