Date,HomeTeam,AwayTeam,Score,HandicapLine,BetSide,BetOdds,Profit,Result,FactorValue,FactorComponents,AHResult
2022-10-14T16:00:00.000Z,Brentford,Brighton,2-0,0/+0.5,HOME,1.940,94.00,WIN,0.0000,F1:0,home
2022-10-14T16:00:00.000Z,Leicester,Crystal Palace,0-0,0/-0.5,HOME,2.050,0.00,PUSH,0.0000,F1:0,draw
2022-10-15T16:00:00.000Z,Leeds,Arsenal,0-1,+1,HOME,1.840,0.00,PUSH,1.0000,F1:1,draw
2022-10-15T16:00:00.000Z,Liverpool,Manchester City,4-1,+0.5/+1,HOME,1.880,88.00,WIN,0.5000,F1:0.5,home
2022-10-15T16:00:00.000Z,Aston Villa,Chelsea,0-2,+0.5/+1,HOME,1.690,-100.00,LOSS,0.5000,F1:0.5,away
2022-10-15T16:00:00.000Z,Southampton,West Ham,1-1,0/+0.5,HOME,1.750,0.00,PUSH,0.0000,F1:0,draw
2022-10-15T16:00:00.000Z,Manchester Utd,Newcastle,0-0,0/-0.5,HOME,1.730,0.00,PUSH,0.0000,F1:0,draw
2022-10-15T16:00:00.000Z,Tottenham,Everton,2-0,-1/-1.5,AWAY,1.880,-100.00,LOSS,-1.0000,F1:-1,home
2022-10-18T16:00:00.000Z,Crystal Palace,Wolves,2-1,0/-0.5,HOME,1.740,74.00,WIN,0.0000,F1:0,home
2022-10-18T16:00:00.000Z,Brighton,Nottingham Forest,0-0,-1/-1.5,AWAY,2.020,102.00,WIN,-1.0000,F1:-1,away
2022-10-19T16:00:00.000Z,Brentford,Chelsea,0-0,+0.5/+1,HOME,1.820,82.00,WIN,0.5000,F1:0.5,home
2022-10-19T16:00:00.000Z,Manchester Utd,Tottenham,2-0,0/-0.5,HOME,1.990,99.00,WIN,0.0000,F1:0,home
2022-10-19T16:00:00.000Z,Bournemouth,Southampton,0-1,0,HOME,1.820,-100.00,LOSS,0.0000,F1:0,away
2022-10-19T16:00:00.000Z,Liverpool,West Ham,1-2,-1/-1.5,AWAY,1.980,0.00,PUSH,-1.0000,F1:-1,draw
2022-10-20T16:00:00.000Z,Fulham,Aston Villa,3-0,0/+0.5,HOME,1.740,74.00,WIN,0.0000,F1:0,home
2022-10-20T16:00:00.000Z,Leicester,Leeds,2-0,0/-0.5,HOME,1.940,94.00,WIN,0.0000,F1:0,home
2022-10-21T16:00:00.000Z,Nottingham Forest,Liverpool,3-2,+1.5/+2,HOME,1.720,72.00,WIN,1.5000,F1:1.5,home
2022-10-21T16:00:00.000Z,Everton,Crystal Palace,3-0,0,HOME,1.750,75.00,WIN,0.0000,F1:0,home
2022-10-21T16:00:00.000Z,Manchester City,Brighton,3-1,-1.5/-2,AWAY,2.050,-100.00,LOSS,-1.5000,F1:-1.5,home
2022-10-22T16:00:00.000Z,Southampton,Arsenal,1-1,+1/+1.5,HOME,1.870,87.00,WIN,1.0000,F1:1,home
2022-10-22T16:00:00.000Z,Chelsea,Manchester Utd,1-1,0/-0.5,HOME,1.820,0.00,PUSH,0.0000,F1:0,draw
2022-10-22T16:00:00.000Z,Tottenham,Newcastle,1-2,0/-0.5,HOME,1.860,-100.00,LOSS,0.0000,F1:0,away
2022-10-22T16:00:00.000Z,Wolves,Leicester,0-4,0/-0.5,HOME,2.010,-100.00,LOSS,0.0000,F1:0,away
2022-10-22T16:00:00.000Z,Leeds,Fulham,2-3,0/-0.5,HOME,1.770,-100.00,LOSS,0.0000,F1:0,away
2022-10-22T16:00:00.000Z,Aston Villa,Brentford,4-0,0/-0.5,HOME,1.760,76.00,WIN,0.0000,F1:0,home
2022-10-24T16:00:00.000Z,West Ham,Bournemouth,2-0,-1,AWAY,1.810,-100.00,LOSS,-1.0000,F1:-1,home
2022-10-28T16:00:00.000Z,Leicester,Manchester City,0-1,+1/+1.5,HOME,2.000,0.00,PUSH,1.0000,F1:1,draw
2022-10-28T16:00:00.000Z,Bournemouth,Tottenham,2-3,+0.5/+1,HOME,1.970,-100.00,LOSS,0.5000,F1:0.5,away
2022-10-28T16:00:00.000Z,Brighton,Chelsea,4-1,0/+0.5,HOME,1.830,83.00,WIN,0.0000,F1:0,home
2022-10-28T16:00:00.000Z,Brentford,Wolves,1-1,0/-0.5,HOME,1.830,0.00,PUSH,0.0000,F1:0,draw
2022-10-29T16:00:00.000Z,Fulham,Everton,0-0,0/-0.5,HOME,1.960,0.00,PUSH,0.0000,F1:0,draw
2022-10-29T16:00:00.000Z,Liverpool,Leeds,1-2,-1.5/-2,AWAY,2.100,110.00,WIN,-1.5000,F1:-1.5,away
2022-10-29T16:00:00.000Z,Arsenal,Nottingham Forest,5-0,-1.5/-2,AWAY,2.050,-100.00,LOSS,-1.5000,F1:-1.5,home
2022-11-04T16:00:00.000Z,Wolves,Brighton,2-3,0/+0.5,HOME,2.070,-100.00,LOSS,0.0000,F1:0,away
2022-11-04T16:00:00.000Z,Nottingham Forest,Brentford,2-2,0,HOME,1.880,0.00,PUSH,0.0000,F1:0,draw
2022-11-04T16:00:00.000Z,Manchester City,Fulham,2-1,-2/-2.5,AWAY,1.890,89.00,WIN,-2.0000,F1:-2,away
2022-11-05T16:00:00.000Z,Southampton,Newcastle,1-4,+0.5/+1,HOME,1.820,-100.00,LOSS,0.5000,F1:0.5,away
